a;b;c;d;e;f;g;h;i;j
0,8;0,5;0,3;0,1;0,6;0,4;0,2;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,6;0,4;0,2;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,7;0,4;0,2;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,2;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,8;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
0,9;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
1,0;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
1,1;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
1,1;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,8;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;0,9;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,0;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,1;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,0
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,1
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,2
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
1,2;0,5;0,3;0,1;0,8;0,4;0,3;0,7;1,2;0,3
