a;b;c;d;e;f;g;h;i;j
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,2;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,5;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,6;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,4;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,7;1,0
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,8;1,0
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,8;1,1
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,8;1,2
0,5;0,8;0,1;0,7;0,3;0,9;0,3;0,6;0,9;1,2
0,5;0,8;0,2;0,7;0,3;0,9;0,3;0,6;0,9;1,2
0,5;0,8;0,2;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,3;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,0;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,2;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,2;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,2;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,2;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,5;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,6;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
0,7;0,8;0,4;0,7;0,3;0,9;0,3;0,6;1,1;1,2
